KPI;3Q25;3Q24;Variation;Statut_note
Revenues (NBI);4458;4267;0,045;VISIBLE_EXACT
Operating expenses;-2599;-2571;0,011;VISIBLE_EXACT
Gross Operating Income;1858;1697;0,095;VISIBLE_EXACT
Cost of Risk and others;-195;-27;;VISIBLE_EXACT (variation n.s.)
Other Results;2;3;;VISIBLE_EXACT (variation n.s.)
Pre-tax income;1666;1672;-0,004;VISIBLE_EXACT
Cost/Income ratio;0,583;0,602;-0,019;"VISIBLE_EXACT; variation en points"
RWA, end of period (EURbn);256,6;277;-0,073;VISIBLE_EXACT
RONE (annualised basis);0,185;0,183;0,002;"VISIBLE_EXACT; variation en points"
